iter	R2	RMSE
0	0.1142448886	43882612.85
1	0.2079604868	41496270.77
2	0.2864940588	39385325.74
3	0.3473932182	37667035.04
4	0.4025254285	36040877.64
5	0.4480430763	34640825.88
6	0.4830543701	33524173.45
7	0.5117661405	32579888.39
8	0.5382490732	31683965.57
9	0.5605303097	30910078.54
10	0.5786634818	30265663.26
11	0.5931607634	29740417.45
12	0.6075432164	29210000.53
13	0.6176471304	28831538.77
14	0.6306681728	28336356.78
15	0.6401139252	27971655.2
16	0.6469797205	27703553.05
17	0.655092787	27383362.98
18	0.6613971944	27131944.56
19	0.6676470226	26880381.72
20	0.672994597	26663251.49
21	0.6775793645	26475676.12
22	0.6809043334	26338806.88
23	0.6840876286	26207099.74
24	0.6868306382	26093075.95
25	0.6906984601	25931443.08
26	0.6929735913	25835895.02
27	0.6951675685	25743419.27
28	0.6975055961	25644504.8
29	0.6989231567	25584346.12
30	0.7019810021	25454092.61
31	0.7036765192	25381581.44
32	0.7059182567	25285391.19
33	0.7082977988	25182885.91
34	0.7095431239	25129073.46
35	0.7127380863	24990484.12
36	0.7143350717	24920922.06
37	0.7164219864	24829725.76
38	0.717090637	24800435.39
39	0.7178348286	24767795.2
40	0.7189137608	24720396.78
41	0.7198085695	24681018.02
42	0.7211334428	24622597.3
43	0.721719476	24596711.72
44	0.7223405154	24569250.11
45	0.723812968	24504017.07
46	0.7247831332	24460941.44
47	0.7271969365	24353437.25
48	0.7288766726	24278345.51
49	0.7297600142	24238762.85
50	0.7314296202	24163770.45
51	0.7324159806	24119357.31
52	0.7338729641	24053603.25
53	0.7353619286	23986219.64
54	0.7359372995	23960130.27
55	0.7374445393	23891651.57
56	0.7380975265	23861923.27
57	0.7395783397	23794369.23
58	0.7414799307	23707337.18
59	0.7431897542	23628808.26
60	0.7443908623	23573487.22
61	0.7465959004	23471587.45
62	0.7480538004	23403970.97
63	0.7486500463	23376261.11
64	0.7496316578	23330570.12
65	0.7499618837	23315179
66	0.7504685727	23291543.53
67	0.7523167626	23205127.16
68	0.7532662212	23160607.67
69	0.7538815105	23131711.4
70	0.7554028967	23060106.01
71	0.7559130303	23036046.3
72	0.7576736953	22952813.33
73	0.7593258015	22874436.9
74	0.7613609358	22777518.78
75	0.761660898	22763198.95
76	0.7622511093	22734996.64
77	0.7627888416	22709271.47
78	0.7640531558	22648671.42
79	0.7651977448	22593669.76
80	0.7663251556	22539362.37
81	0.7668665549	22513236.6
82	0.7673396691	22490381.14
83	0.7687805511	22420630.72
84	0.7690115294	22409429.3
85	0.7700853355	22357280.78
86	0.7704874221	22337722.44
87	0.7710933475	22308216.57
88	0.7720063956	22263681.33
89	0.7724393976	22242529.85
90	0.7730107311	22214590.29
91	0.7733793722	22196544.2
92	0.7749401062	22119978.46
93	0.7763867572	22048771.9
94	0.7780504183	21966598.4
95	0.7795799233	21890779.14
96	0.7800902874	21865421.33
97	0.7805753431	21841293.69
98	0.780952524	21822513.53
99	0.7817995146	21780282.12
100	0.7828361354	21728483.95
101	0.7833575416	21702383.44
102	0.7836385634	21688303.05
103	0.7842855916	21655849.37
104	0.7857403906	21582701.25
105	0.7867871514	21529915.78
106	0.7876878439	21484392.36
107	0.7878929285	21474013.35
108	0.7896599082	21384380.55
109	0.7901277503	21360585.55
110	0.7909420171	21319107.66
111	0.791317423	21299957.67
112	0.7915325112	21288977.96
113	0.79184839	21272842.86
114	0.7926412886	21232287.56
115	0.7932076157	21203273.49
116	0.7934916486	21188706.96
117	0.7941689857	21153929.46
118	0.7946363532	21129899.37
119	0.7948912131	21116784.01
120	0.7962707303	21045650.75
121	0.7964084407	21038536.66
122	0.7968502624	21015696
123	0.7970697418	21004340.44
124	0.7976787871	20972797.07
125	0.7982500006	20943169.9
126	0.7985279813	20928736.68
127	0.7988231973	20913397.67
128	0.7996461158	20870580.46
129	0.7999659027	20853917.94
130	0.8007818413	20811342.93
131	0.8021063595	20742044.6
132	0.802560055	20718254.11
133	0.8034217804	20672992.33
134	0.8036379381	20661623.17
135	0.8041715038	20633532.64
136	0.8046323319	20609240.68
137	0.8052113231	20578679.27
138	0.8056650008	20554700.65
139	0.8059891884	20537548.92
140	0.807024761	20482663.89
141	0.8074817029	20458399.29
142	0.8076585761	20448999.21
143	0.8080889471	20426108.71
144	0.8085596636	20401042.9
145	0.8092806931	20362588.02
146	0.809455973	20353228.79
147	0.809737079	20338209.88
148	0.8101179771	20317841.58
149	0.8102197129	20312397.86
150	0.8105016669	20297303.32
151	0.8106442372	20289666.48
152	0.8116192266	20237363.5
153	0.8121848498	20206958.79
154	0.8124836875	20190876.48
155	0.8126417344	20182365.8
156	0.8131494852	20154999.62
157	0.8134347153	20139610.28
158	0.8136245236	20129362.83
159	0.8141604725	20100399.59
160	0.8143368964	20090856.32
161	0.8150873183	20050213.12
162	0.8158811154	20007130.84
163	0.8164050323	19978645.06
164	0.8166938691	19962923.39
165	0.8175803824	19914592.09
166	0.8181022117	19886087.87
167	0.8185108127	19863740.03
168	0.8187541944	19850416.67
169	0.8193214909	19819326.58
170	0.8198699809	19789220.71
171	0.8204557521	19757017.88
172	0.8210298904	19725403.54
173	0.8215553168	19696427.02
174	0.8225681086	19640452.34
175	0.8234024234	19594221.56
176	0.8240031439	19560866.98
177	0.8248800838	19512073.14
178	0.8252700605	19490335.19
179	0.8256816446	19467366.48
180	0.825970031	19451256.74
181	0.8265130213	19420888.14
182	0.8269401069	19396968.49
183	0.8270717664	19389588.73
184	0.8273081301	19376333.05
185	0.8275240848	19364214.02
186	0.827762881	19350804.31
187	0.8284120122	19314305.01
188	0.8286323147	19301902.17
189	0.8289154181	19285951.98
190	0.829317278	19263288.32
191	0.8294936083	19253335.41
192	0.8297972516	19236184.29
193	0.8299520164	19227436.6
194	0.8300534999	19221698.34
195	0.8304142725	19201285.02
196	0.8305459907	19193826.7
197	0.8312430428	19154308.94
198	0.8316202076	19132892.42
199	0.8319365469	19114911.25
200	0.8324437508	19086045.72
201	0.8326365447	19075062.14
202	0.8330216861	19053101.48
203	0.8336770502	19015674.47
204	0.8338527612	19005627.32
