iter	Passed	Remaining
0	177	1063949
1	208	624220
2	245	490204
3	273	409445
4	299	359644
5	328	328505
6	355	304581
7	384	287983
8	409	272561
9	436	261668
10	461	251503
11	484	241751
12	513	236397
13	536	229526
14	563	224859
15	588	220235
16	614	216440
17	638	212246
18	665	209432
19	692	207206
20	717	204327
21	743	201905
22	765	198952
23	787	196126
24	810	193688
25	834	191646
26	858	189925
27	880	187769
28	908	187098
29	932	185536
30	959	184698
31	978	182572
32	1004	181575
33	1028	180527
34	1049	178929
35	1072	177754
36	1095	176620
37	1116	175240
38	1136	173734
39	1156	172360
40	1181	171673
41	1206	171116
42	1229	170306
43	1252	169501
44	1273	168496
45	1297	167886
46	1320	167266
47	1347	167119
48	1370	166411
49	1391	165564
50	1413	164886
51	1441	164900
52	1464	164374
53	1491	164262
54	1513	163582
55	1588	168638
56	1621	169046
57	1649	169035
58	1679	169148
59	1700	168371
60	1723	167767
61	1746	167242
62	1769	166739
63	1790	166103
64	1812	165456
65	1833	164873
66	1855	164295
67	1876	163705
68	1899	163317
69	1920	162732
70	1948	162672
71	1978	162860
72	2002	162617
73	2026	162318
74	2050	162016
75	2070	161393
76	2092	160944
77	2116	160697
78	2142	160595
79	2173	160847
80	2206	161229
81	2234	161284
82	2309	164615
83	2355	165927
84	2388	166221
85	2424	166735
86	2461	167277
87	2498	167868
88	2529	167988
89	2551	167571
90	2577	167394
91	2600	167000
92	2624	166705
93	2651	166593
94	2678	166491
95	2704	166343
96	2727	166005
97	2750	165629
98	2775	165407
99	2802	165367
100	2825	165043
101	2849	164770
102	2875	164615
103	2913	165184
104	2952	165760
105	2995	166577
106	3036	167261
107	3061	167033
108	3090	167054
109	3112	166683
110	3134	166309
111	3156	165955
112	3179	165641
113	3199	165215
114	3220	164797
115	3247	164730
116	3271	164516
117	3299	164485
118	3325	164364
119	3350	164195
120	3378	164145
121	3405	164072
122	3430	163894
123	3453	163650
124	3475	163343
125	3500	163200
126	3524	162970
127	3551	162915
128	3589	163382
129	3629	163892
130	3660	163987
131	3687	163906
132	3709	163619
133	3732	163378
134	3754	163117
135	3775	162799
136	3800	162660
137	3822	162363
138	3842	162022
139	3866	161847
140	3893	161799
141	3916	161563
142	3939	161345
143	3972	161528
144	3993	161258
145	4017	161076
146	4042	160967
147	4071	160976
148	4093	160749
149	4116	160559
150	4141	160406
151	4161	160121
152	4187	160027
153	4211	159862
154	4233	159650
155	4254	159363
156	4280	159292
157	4303	159115
158	4327	158976
159	4348	158710
160	4371	158548
161	4396	158446
162	4421	158337
163	4447	158277
164	4480	158441
165	4523	158976
166	4566	159516
167	4609	160026
168	4650	160462
169	4699	161157
170	4745	161746
171	4782	162044
172	4817	162258
173	4854	162526
174	4900	163105
175	4931	163199
176	4973	163628
177	5015	164053
178	5055	164400
179	5088	164521
180	5119	164602
